"filename", "language", "XML", "JSON", "C#", "Properties", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\bin\Debug\net9.0\appsettings.json", "JSON", 0, -9, 0, 0, 0, 0, 0, -1, -10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\bin\Debug\net9.0\iWenJuan.Service.Auth.deps.json", "JSON", 0, -1469, 0, 0, 0, 0, 0, 0, -1469
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\bin\Debug\net9.0\iWenJuan.Service.Auth.runtimeconfig.json", "JSON", 0, -20, 0, 0, 0, 0, 0, 0, -20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\bin\Debug\net9.0\iWenJuan.Service.Auth.staticwebassets.endpoints.json", "JSON", 0, -5, 0, 0, 0, 0, 0, 0, -5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, -3, 0, 0, 0, -1, -1, -5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\AppSettingsSchema.json", "JSON", 0, -1693, 0, 0, 0, 0, 0, 0, -1693
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\CombinedComponentSchema.json", "JSON", 0, -620, 0, 0, 0, 0, 0, 0, -620
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\iWenJuan.AuthService.AssemblyInfo.cs", "C#", 0, 0, -10, 0, 0, 0, -10, -5, -25
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\iWenJuan.AuthService.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, -21, 0, 0, 0, -1, -22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\iWenJuan.AuthService.GlobalUsings.g.cs", "C#", 0, 0, -16, 0, 0, 0, -1, -1, -18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\iWenJuan.Server.Auth.AssemblyInfo.cs", "C#", 0, 0, -10, 0, 0, 0, -10, -5, -25
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\iWenJuan.Server.Auth.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, -21, 0, 0, 0, -1, -22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\iWenJuan.Server.Auth.GlobalUsings.g.cs", "C#", 0, 0, -16, 0, 0, 0, -1, -1, -18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\iWenJuan.Service.Auth.AssemblyInfo.cs", "C#", 0, 0, -10, 0, 0, 0, -10, -5, -25
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\iWenJuan.Service.Auth.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, -21, 0, 0, 0, -1, -22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\iWenJuan.Service.Auth.GlobalUsings.g.cs", "C#", 0, 0, -16, 0, 0, 0, -1, -1, -18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\iWenJuan.Service.Auth.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 0, -3, 0, 0, 0, -10, -5, -18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\staticwebassets.build.endpoints.json", "JSON", 0, -5, 0, 0, 0, 0, 0, 0, -5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\staticwebassets.build.json", "JSON", 0, -12, 0, 0, 0, 0, 0, 0, -12
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\staticwebassets\msbuild.build.iWenJuan.Service.Auth.props", "XML", -4, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\staticwebassets\msbuild.buildMultiTargeting.iWenJuan.Service.Auth.props", "XML", -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\Debug\net9.0\staticwebassets\msbuild.buildTransitive.iWenJuan.Service.Auth.props", "XML", -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\iWenJuan.AuthService.csproj.nuget.dgspec.json", "JSON", 0, -208, 0, 0, 0, 0, 0, 0, -208
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\iWenJuan.AuthService.csproj.nuget.g.props", "XML", -24, 0, 0, 0, 0, 0, 0, 0, -24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\iWenJuan.AuthService.csproj.nuget.g.targets", "XML", -14, 0, 0, 0, 0, 0, 0, 0, -14
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\iWenJuan.Server.Auth.csproj.nuget.dgspec.json", "JSON", 0, -208, 0, 0, 0, 0, 0, 0, -208
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\obj\iWenJuan.Server.Auth.csproj.nuget.g.props", "XML", -24, 0, 0, 0, 0, 0, 0, 0, -24
