"filename", "language", "XML", "C#", "JSON", "Docker", "YAML", "Ignore", "CSS", "Razor", "JavaScript", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\OptionEditor.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\QuestionEditor.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 7, 44
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\SurveyEditor.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 21, 143
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Survey\SurveyManager.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 10, 78
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Pages\Test.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\Routes.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Components\_Imports.razor", "Razor", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Program.cs", "C#", 0, 66, 0, 0, 0, 0, 0, 0, 0, 9, 15, 90
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Properties\launchSettings.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Services\AuthStateProvider.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Services\AuthenticationService.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\Services\HttpOnlyCookieService.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 0, 0, 11, 8, 50
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\appsettings.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\iWenJuan.Client.WorkSpace.csproj", "XML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\wwwroot\app.css", "CSS", 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 35, 192
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Client.WorkSpace\wwwroot\cookieHelper.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 2, 24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Controllers\AuthController.cs", "C#", 0, 107, 0, 0, 0, 0, 0, 0, 0, 52, 27, 186
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Controllers\UserController.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 0, 0, 8, 6, 45
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Data\AuthDbContext.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Dockerfile", "Docker", 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 5, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IJwtTokenHelper.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 12, 3, 21
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IMessageQueueService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 13, 3, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IPasswordHasher.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 11, 3, 20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IRedisService.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 21, 4, 32
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IVerificationCodeService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 15, 3, 24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Models\User.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Program.cs", "C#", 0, 68, 0, 0, 0, 0, 0, 0, 0, 26, 12, 106
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Properties\launchSettings.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\JwtTokenHelper.cs", "C#", 0, 73, 0, 0, 0, 0, 0, 0, 0, 34, 11, 118
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\RabbitMQService.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 0, 0, 20, 8, 60
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\RedisService.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\VerificationCodeService.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Utils\PasswordHasherWithArgon2.cs", "C#", 0, 47, 0, 0, 0, 0, 0, 0, 0, 27, 9, 83
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\appsettings.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\iWenJuan.Service.Auth.csproj", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Controllers\CsvProcessingController.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 12, 44
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Dockerfile", "Docker", 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 5, 30
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Interface\ICsvProcessingService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Models\CsvOperation.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Program.cs", "C#", 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 13, 46
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Properties\launchSettings.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 32
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Services\CsvProcessingService.cs", "C#", 0, 125, 0, 0, 0, 0, 0, 0, 0, 55, 17, 197
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\appsettings.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\iWenJuan.Service.DataProcessing.csproj", "XML", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Controllers\FileStorageController.cs", "C#", 0, 91, 0, 0, 0, 0, 0, 0, 0, 40, 11, 142
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Data\StorageDbContext.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Dockerfile", "Docker", 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 5, 30
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Interface\IExportService.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 0, 8, 2, 15
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Interface\IFileStorageService.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 16, 4, 27
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Models\StoredFile.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Program.cs", "C#", 0, 43, 0, 0, 0, 0, 0, 0, 0, 8, 15, 66
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Properties\launchSettings.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Services\ExportService.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 10, 5, 30
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Services\FileStorageService.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 0, 21, 8, 55
