"filename", "language", "Razor", "XML", "C#", "JSON", "CSS", "Docker", "YAML", "Ignore", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Interface\IVerificationCodeService.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 15, 3, 24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Models\User.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 7, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Program.cs", "C#", 0, 0, 59, 0, 0, 0, 0, 0, 23, 11, 93
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Properties\launchSettings.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\JwtTokenHelper.cs", "C#", 0, 0, 62, 0, 0, 0, 0, 0, 32, 10, 104
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\RabbitMQService.cs", "C#", 0, 0, 32, 0, 0, 0, 0, 0, 20, 8, 60
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\RedisService.cs", "C#", 0, 0, 32, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Services\VerificationCodeService.cs", "C#", 0, 0, 36, 0, 0, 0, 0, 0, 0, 9, 45
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\Utils\PasswordHasherWithArgon2.cs", "C#", 0, 0, 47, 0, 0, 0, 0, 0, 27, 9, 83
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\appsettings.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Auth\iWenJuan.Service.Auth.csproj", "XML", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Controllers\CsvProcessingController.cs", "C#", 0, 0, 32, 0, 0, 0, 0, 0, 0, 12, 44
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Dockerfile", "Docker", 0, 0, 0, 0, 0, 20, 0, 0, 5, 5, 30
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Interface\ICsvProcessingService.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Models\CsvOperation.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Program.cs", "C#", 0, 0, 29, 0, 0, 0, 0, 0, 4, 13, 46
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Properties\launchSettings.json", "JSON", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 32
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\Services\CsvProcessingService.cs", "C#", 0, 0, 125, 0, 0, 0, 0, 0, 55, 17, 197
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\appsettings.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\iWenJuan.Service.DataProcessing.csproj", "XML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Controllers\FileStorageController.cs", "C#", 0, 0, 91, 0, 0, 0, 0, 0, 40, 11, 142
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Data\StorageDbContext.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Dockerfile", "Docker", 0, 0, 0, 0, 0, 20, 0, 0, 5, 5, 30
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Interface\IExportService.cs", "C#", 0, 0, 5, 0, 0, 0, 0, 0, 8, 2, 15
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Interface\IFileStorageService.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 16, 4, 27
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Models\StoredFile.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Program.cs", "C#", 0, 0, 31, 0, 0, 0, 0, 0, 5, 14, 50
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Properties\launchSettings.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Services\ExportService.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 10, 5, 30
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\Services\FileStorageService.cs", "C#", 0, 0, 26, 0, 0, 0, 0, 0, 21, 8, 55
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\appsettings.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\iWenJuan.Service.DataStorage.csproj", "XML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Dockerfile", "Docker", 0, 0, 0, 0, 0, 21, 0, 0, 5, 5, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Interface\IEmailService.cs", "C#", 0, 0, 5, 0, 0, 0, 0, 0, 10, 2, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Program.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 0, 8, 12, 39
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Properties\launchSettings.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Services\EmailService.cs", "C#", 0, 0, 30, 0, 0, 0, 0, 0, 25, 7, 62
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\Services\RabbitMQConsumerService.cs", "C#", 0, 0, 49, 0, 0, 0, 0, 0, 32, 14, 95
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\appsettings.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\iWenJuan.Service.Email.csproj", "XML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
